Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux de répo0e;Poids de la discipline;Taux d’i0ertion;% emplois cadre ou professio0 intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net me0uel régional 1er quartile;Salaire net me0uel régional 3ème quartile;cle_ETAB
2011;MASTER LMD;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;76;2;0;0;0;0;0;0;32.00;9.1;1690;0;0;0;0;0;Poitiers_30
2011;MASTER LMD;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;79;2;0;0;0;0;0;0;32.00;9.1;1690;0;0;0;0;0;Poitiers_30
2011;MASTER E0;0870669E;Limoges;A22;Limoges;MEEF;Masters e0eignement;disc20;Masters e0eignement : seco0 degré, CPE...;30 mois après le diplôme;67;8;0;0;0;0;0;0;26.00;8.9;1720;0;0;0;0;0;Limoges_30
2011;MASTER LMD;0870669E;Limoges;A22;Limoges;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;72;7;0;0;0;0;0;0;26.00;8.9;1720;0;0;0;0;0;Limoges_30
2011;MASTER LMD;0870669E;Limoges;A22;Limoges;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;64;12;91;0;0;0;0;0;26.00;8.9;1720;0;0;90;0;0;Limoges_30
2011;MASTER LMD;0870669E;Limoges;A22;Limoges;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;82;2;0;0;0;0;0;0;26.00;8.9;1720;0;0;0;0;0;Limoges_30
2011;MASTER LMD;0870669E;Limoges;A22;Limoges;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;92;5;0;0;0;0;0;0;26.00;8.9;1720;0;0;0;0;0;Limoges_30
2011;MASTER LMD;0911101C;Paris 11 - Paris Sud;A25;Versailles;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;56;16;79;88;76;98;0;0;21.00;8.6;1990;81;5;70;0;0;Paris 11 - Paris Sud_30
2011;MASTER LMD;0911101C;Paris 11 - Paris Sud;A25;Versailles;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;43;17;86;91;83;100;2300;35900;21.00;8.6;1990;81;22;69;0;0;Paris 11 - Paris Sud_30
2011;MASTER E0;0911975C;Évry-Val d'Essonne;A25;Versailles;MEEF;Masters e0eignement;disc18;Masters e0eignement;30 mois après le diplôme;69;4;0;0;0;0;0;0;21.00;8.6;1990;0;0;0;0;0;Évry-Val d'Essonne_30
